97.19,98.72,132.00,170.20,232.85,296.02,341.81,345.28,369.95,401.07,433.59,445.42,448.36,458.26,495.68,499.12,501.49,533.95,537.18,578.13,594.19,596.80,630.30,630.59,685.87,688.59,714.19,752.94,767.29,775.09,775.92,785.43,792.53,820.91,856.08,865.65,898.02,900.09,913.24,916.65,944.67,965.46,970.24,1015.73,1044.94,1076.22,1149.40,1189.73,1191.09,1212.27,1321.36,1439.61,1626.91,1748.55,1754.06,1848.73,1885.60,1908.61,1950.55,2171.59,2177.75,2214.53,2226.86,2229.48,2621.49,2690.23,2799.89,3027.75,3225.95,3331.08,3558.47,3588.88,3938.21,4309.65,8539.68
0.75,1.12,1.23,3.14,6.41,7.66,8.32,8.63,9.51,11.51,13.37,13.69,14.82,16.86,20.04,20.89,28.54,32.36,36.76,37.33,43.28,47.65,51.75,57.75,61.21,61.38,80.18,84.45,95.27,100.58,108.29,109.30,111.88,115.74,129.85,138.21,146.27,164.23,173.29,183.60,190.64,218.27,221.00,232.69,237.47,299.72,308.43,318.97,333.95,393.71,415.28,438.01,459.87,496.34,566.48,689.89,855.88,889.85,960.59,991.28,1055.79,1136.31,1149.36,1236.22,1263.66,1300.91,1458.72,1939.11,2011.28,2191.65,2652.89,2783.63,3037.84,3221.78,4100.47
0.27,3.07,9.54,9.93,10.80,12.87,21.54,28.44,32.03,48.93,57.98,73.65,75.62,78.76,78.90,92.22,103.88,146.11,177.92,196.86,206.01,211.14,228.20,252.01,324.61,382.14,408.75,430.82,480.35,649.76,800.48,849.42,877.21,962.93,1004.37,1143.86,1189.66,1227.16,1283.70,1341.37,1396.19,1894.00,2304.99,2512.44,2573.11,2791.90,3017.80,3971.78,4416.81,5568.86,5679.32,7246.42,8563.88,9141.21,11417.53,12023.24,16326.93,17258.59,17932.79,18819.06,20752.68,25757.13,27267.77,34808.16,36551.54,48300.58,56411.01,90382.88,120718.35,148693.72,171435.69,375495.37,487806.18,506148.22,4824524.31
0.63,1.57,3.76,4.15,5.04,7.38,14.30,18.31,21.58,27.73,38.48,42.58,68.20,80.57,84.02,106.01,110.45,114.00,127.83,152.22,169.12,170.12,173.95,183.64,189.64,212.93,235.59,249.91,269.83,311.47,314.80,319.07,433.94,515.68,704.61,713.02,852.17,875.13,896.29,906.81,1095.57,1286.98,1708.29,1722.80,1726.64,1816.78,1833.45,2033.33,2185.24,2314.15,2520.71,3080.70,3551.42,3696.05,4034.36,4587.93,4853.33,5356.85,7126.91,7509.54,8422.55,8767.43,9385.81,9676.25,12142.66,14222.68,15631.71,16035.18,17348.03,17443.91,19160.34,29230.79,38021.13,75411.71,80638.69
105.90,117.03,198.16,205.76,225.11,257.36,277.20,310.16,348.67,364.93,370.95,385.36,404.78,405.96,413.85,429.01,459.14,462.60,487.00,488.38,502.53,507.73,549.85,562.96,620.69,628.30,695.42,719.02,754.88,757.49,793.36,807.82,878.81,939.18,959.86,971.61,1014.32,1028.94,1047.03,1082.45,1098.74,1119.10,1136.39,1138.16,1152.69,1165.67,1235.05,1299.15,1328.60,1381.25,1422.56,1426.76,1577.61,1716.95,1804.30,2050.56,2201.37,2233.63,2263.86,2576.45,2678.96,3037.66,3066.11,3132.46,3430.19,3448.23,3489.65,4000.22,4358.63,4602.76,4655.35,5202.11,5356.27,5549.53,7574.79
0.76,1.96,3.04,4.02,4.44,4.61,5.53,5.78,9.69,9.92,15.42,16.75,16.86,19.71,20.59,24.01,26.15,32.94,35.48,35.95,38.40,50.96,52.56,53.68,54.08,56.46,62.00,73.17,76.38,79.42,108.63,112.59,119.84,125.82,130.34,139.89,141.13,148.22,151.97,152.99,169.43,170.42,185.15,198.03,209.91,216.01,225.35,250.71,271.03,291.79,310.23,323.10,331.76,378.26,410.17,412.76,422.07,427.24,429.60,432.69,482.85,581.24,691.75,703.53,719.39,804.72,879.10,1078.87,1218.03,1468.29,1758.60,1934.91,1989.06,3117.34,4000.72
1.86,2.14,2.15,3.24,3.69,4.18,4.50,7.03,19.42,23.93,30.95,36.11,39.15,41.90,43.78,49.94,62.00,79.29,113.06,160.97,169.55,177.29,226.94,235.59,249.91,279.37,445.10,640.97,658.04,695.20,784.63,818.29,835.37,875.73,951.56,1002.13,1099.51,1193.04,1244.50,1319.06,1427.85,1590.08,1700.29,1825.69,2005.44,2413.47,2564.27,2615.23,3288.90,3304.65,4111.15,4364.17,4909.51,4912.45,5183.72,6202.86,6714.34,6830.39,7379.41,9525.89,11422.08,12026.15,12505.47,12970.34,14165.64,19552.33,21183.34,23330.82,25515.66,40309.62,103126.57,114192.89,176716.83,375552.53,1807929.64
0.68,2.16,7.25,14.82,14.93,14.94,15.19,17.24,18.47,19.27,20.68,28.24,31.64,65.80,70.10,75.80,82.29,86.56,125.00,134.29,141.35,142.15,144.42,166.12,175.00,175.85,177.91,185.61,226.62,242.79,252.51,264.11,307.59,330.60,336.82,337.60,346.00,362.13,368.68,377.86,413.44,421.19,448.82,591.49,621.35,638.90,818.22,991.86,1093.50,1141.71,1152.25,1235.08,1513.99,1590.33,1750.93,1962.78,1993.65,2079.75,2112.47,2479.70,2550.74,2735.69,3363.86,3567.55,6924.98,6991.11,8376.31,10279.17,10328.01,14553.73,23516.50,35138.20,39521.01,55589.58,145293.16
60.27,120.60,127.01,131.49,140.98,143.67,156.21,207.64,212.20,216.73,250.70,255.67,281.22,290.03,302.43,306.31,322.28,341.51,358.91,381.10,394.84,401.01,420.90,437.66,469.56,476.04,476.82,480.28,482.63,488.90,492.96,500.79,529.32,534.16,557.23,570.19,598.40,602.23,613.68,617.73,639.63,671.68,759.22,806.19,811.97,841.19,863.76,867.64,868.85,919.40,919.80,938.46,1003.82,1028.53,1051.98,1087.84,1109.68,1117.15,1274.63,1335.74,1372.91,1591.82,1660.59,1706.78,1853.70,1872.14,2065.01,2125.49,2560.60,2697.62,2978.98,3254.06,3710.38,4039.72,4697.80
2.56,2.57,6.66,9.13,10.95,12.33,12.85,12.87,13.35,18.38,20.39,20.48,20.66,22.10,22.50,27.07,40.35,44.60,47.30,65.62,76.84,82.31,83.17,84.63,84.69,86.96,88.99,93.43,97.56,109.12,111.66,115.87,120.61,130.67,132.99,133.02,138.72,145.75,146.06,170.52,170.53,179.26,180.47,186.41,188.61,223.75,224.80,225.58,229.55,298.23,326.11,329.47,386.33,414.90,462.83,465.02,479.25,494.16,501.20,549.23,561.98,599.67,613.73,732.86,787.38,909.99,961.48,966.76,1051.58,1079.73,1145.58,1424.90,1675.85,2453.50,3190.69
